Substrate,ECNumber,Organism_ID_sabio,kcat,original_index
5alpha-Androstane-3alpha-ol-17-one,1.1.1.50,9606,0.09,1229
5alpha-Androstane-3alpha-ol-17-one,1.1.1.51,9606,0.011,1230
5alpha-Androstane-3alpha-ol-17-one,1.3.1.20,9606,0.006666667,1231
5alpha-Androstane-3alpha-ol-17-one,1.1.1.213,10116,2.666667,1232
"5alpha-Pregnan-3alpha,20alpha-diol",1.1.1.357,9606,0.06666667,1233
"5alpha-Pregnan-3alpha,20alpha-diol",1.1.1.209,10090,0.105,1234
"5alpha-Pregnane-21-ol-3,20-dione",1.1.1.357,9606,0.035,1235
"5alpha-Pregnane-21-ol-3,20-dione",1.1.1.209,10090,0.3333333,1236
"5alpha-Pregnane-3,20-dione",1.1.1.149,9606,0.04333333,1237
"5alpha-Pregnane-3,20-dione",1.1.1.209,10090,0.2,1238
"5beta-Androstane-3,17-dione",1.1.1.213,9606,0.01033333,1239
"5beta-Androstane-3,17-dione",1.1.1.50,9606,0.08,1240
"5beta-Androstane-3,17-dione",1.1.1.209,10090,0.3333333,1241
"5beta-Androstane-3,17-dione",1.1.1.213,10116,0.48,1242
"5beta-Androstane-3,17-dione",1.1.1.51,10116,0.05333333,1243
"5beta-Androstane-3,17-dione",1.1.1.62,10116,0.02666667,1244
"5beta-Androstane-3alpha,17beta-diol",1.1.1.213,9606,0.0015,1245
"5beta-Androstane-3alpha,17beta-diol",1.1.1.50,9606,0.1266667,1246
"5beta-Androstane-3alpha,17beta-diol",1.1.1.51,10116,0.4666667,1247
"5beta-Androstane-3alpha,17beta-diol",1.1.1.62,10116,0.13,1248
5beta-Cholestane-3alpha-ol,1.14.15.15,10116,0.04333333,1249
"5beta-Pregnane-3,20-dione",1.1.1.1,9606,0.022,1250
"5beta-Pregnane-3,20-dione",1.1.1.149,9606,0.05666667,1251
"5beta-Pregnane-3,20-dione",1.1.1.213,9606,0.009833333,1252
"5beta-Pregnane-3,20-dione",1.1.1.50,9606,0.05,1253
"5beta-Pregnane-3,20-dione",1.1.1.209,10090,0.4,1254
"5beta-Pregnane-3,20-dione",1.1.1.51,10116,0.013,1255
"5beta-Pregnane-3,20-dione",1.1.1.62,10116,0.006333333,1256
"5beta-cholane-3alpha,7alpha,12alpha,24-tetrol",1.1.1.1,9606,0.9166667,1257
"6,7-Dihydrobiopterin",1.5.1.33,5702,0.07,1258
"6,7-Dimethyl-8-(1-D-ribityl)lumazine",2.5.1.9,83333,0.008333333,1259
6-(dimethylamino)-2-naphthaldehyde,1.2.1.3,9606,0.6166667,1260
6-Amino-2-oxohexanoate,1.1.1.27,1422,0.008,1261
6-Aminopenicillanate,3.5.2.6,562,659.4,1262
6-Aminopenicillanate,3.5.2.6,1396,260,1263
6-Carboxyhexanoyl-CoA,2.3.1.47,1421,0.5,1264
6-Carboxyhexanoyl-CoA,2.3.1.47,83331,7000,1265
6-Carboxyhexanoyl-CoA,2.3.1.47,83332,7000,1266
6-Carboxyhexanoyl-CoA,2.3.1.47,83333,0.06,1267
6-Deoxy-D-glucose,1.1.1.21,9913,0.1916667,1268
6-Fluoro-D-glucose,1.1.1.21,9913,0.2516667,1269
6-Fluorotryptophan,1.13.11.11,190485,37.3,1270
6-Formylpterin,3.5.4.11,311403,64,1271
"6-Hydroxy-4-(N-isopropylamino)-2-(N-methylamino)-1,3,5-triazine",3.5.4.43,47660,1.4,1272
6-Hydroxymethylpterin,3.5.4.11,311403,28,1273
6-Hydroxynicotinate,1.14.13.114,257310,5.1,1274
6-Methyltetrahydropterin,1.14.16.1,10116,16,1275
6-Methyltetrahydropterin,1.14.16.2,10116,2.75,1276
6-Methyltetrahydropterin,1.14.16.4,10116,2.183333,1277
6-Methyltryptophan,1.13.11.52,9606,0.108,1278
6-Methyltryptophan,1.13.11.11,190485,41,1279
6-Oxocamphor,3.7.1.18,1831,642.86,1280
6-Phospho-D-gluconate,1.1.1.44,5702,27,1281
6-Phospho-D-gluconate,1.1.1.44,9606,21.3,1282
6-Phospho-D-gluconate,1.1.1.44,9940,21,1283
6-Phospho-D-gluconate,1.1.1.44,559292,28.33,1284
6-Phospho-D-gluconate,1.1.1.44,1111708,69.9,1285
"6-Phospho-D-glucono-1,5-lactone",3.1.1.31,9913,14.3,1286
6-beta-Iodopenicillanic acid,3.5.2.6,1396,450,1287
6-beta-Iodopenicillanic acid,3.5.2.6,40324,648,1288
6-beta-Iodopenicillanic acid,3.5.2.6,196023,0.64,1289
"6-tert-Butyl-2,3-epoxy-5-cyclohexene-1,4-dione",1.1.1.213,10116,0.4,1290
"6-tert-Butyl-2,3-epoxy-5-cyclohexene-1,4-dione",1.1.1.51,10116,1.25,1291
"6-tert-Butyl-2,3-epoxy-5-cyclohexene-1,4-dione",1.1.1.62,10116,0.1533333,1292
"7,12-Dimethylbenzo[a]anthracene",1.14.14.1,9606,0.04766667,1293
"7,12-Dimethylbenzo[a]anthracene",1.14.14.1,10090,0.138,1294
"7,8-Diaminononanoate",6.3.3.3,83333,0.06216667,1295
"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",2.1.1.49,9986,3.666667,1296
"7,8-Dihydrobiopterin",1.5.1.33,5664,0.57,1297
"7,8-Dihydrobiopterin",1.5.1.33,5689,0.25,1298
"7,8-Dihydrobiopterin",1.5.1.33,5702,0.05,1299
"7,8-Dihydrobiopterin",1.5.1.3,9913,0.69,1300
"7,8-Dihydrobiopterin",3.5.4.11,311403,0.09,1301
"7,8-Dihydroneopterin",4.1.2.25,4754,1.8,1302
"7,8-Dihydroneopterin",3.5.4.11,311403,0.036,1303
"7,8-Dihydroneopterin 3'-triphosphate",4.2.3.12,9606,0.033,1304
7-Aminocephalosporanic acid,3.5.2.6,464,30,1305
7-Benzyloxyquinoline,1.14.14.55,9606,0.05333333,1306
"7-Chloro-4-nitrobenzo-2-oxa-1,3-diazole",2.5.1.18,36329,15,1307
7-Cyano-7-deazaguanine,1.7.1.13,224308,0.0115,1308
7-Ethoxy-4-trifluoromethylcoumarin,1.14.14.1,9606,0.2833333,1309
7-Ethoxy-4-trifluoromethylcoumarin,1.14.14.1,9615,0.2833333,1310
7-Ethoxycoumarin,1.14.14.1,3702,0.04666667,1311
7-Ethoxycoumarin,1.14.14.1,9606,0.167,1312
7-Ethoxycoumarin,1.14.14.1,9986,0.11,1313
7-Ethoxycoumarin,1.14.14.1,559292,0.11,1314
7-Ethoxyresorufin,1.14.14.1,9606,0.0185,1315
7-Methylguanosine 5'-phosphate,3.1.3.91,7227,6.3,1316
7-Methylguanosine 5'-phosphate,3.1.3.91,9606,0.24,1317
7-cis-Retinal,1.1.1.1,9606,1.333333,1318
"7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one",1.1.1.213,10116,0.075,1319
"7alpha,12alpha-Dihydroxycholest-4-en-3-one",1.3.1.3,10116,0.01283333,1320
7alpha-Hydroxy-5beta-cholestan-3-one,1.1.1.50,9606,0.02333333,1321
7alpha-Hydroxy-5beta-cholestan-3-one,1.1.1.213,10116,0.2483333,1322
7alpha-Hydroxycholest-4-en-3-one,1.3.1.3,10116,0.01,1323
8-Amino-7-oxononanoate,2.6.1.62,83331,0.01666667,1324
8-Amino-7-oxononanoate,2.6.1.62,83332,0.01666667,1325
8-Amino-7-oxononanoate,2.6.1.62,83333,0.2833333,1326
8-Oxogeranial,1.3.1.123,4151,0.72,1327
8-oxo-GTP,3.6.1.55,3702,0.54,1328
8-oxo-dGTP,3.6.1.55,3702,0.25,1329
8-oxo-dGTP,3.6.1.56,9606,3.3,1330
8-oxo-dGTP,3.6.1.9,9606,8.6,1331
8-oxo-dGTP,3.6.1.8,83332,0.08666667,1332
8-oxo-dGTP,3.6.1.8,83333,0.12,1333
8-oxo-dGTP,3.6.1.8,246196,0.09833333,1334
9(10)-EpOME,3.3.2.10,6239,0.22,1335
9(S)-HPODE,4.2.1.92,3702,12,1336
"9,10-Phenanthroquinone",1.1.1.188,9606,1.833333,1337
"9,10-Phenanthroquinone",1.1.1.2,9606,3.116667,1338
"9,10-Phenanthroquinone",1.1.1.21,9606,0.0825,1339
"9,10-Phenanthroquinone",1.1.1.213,9606,0.39,1340
"9,10-Phenanthroquinone",1.1.1.263,9606,0.007,1341
"9,10-Phenanthroquinone",1.1.1.n11,9606,5.416667,1342
"9,10-Phenanthroquinone",1.6.5.5,9606,3.25,1343
"9,10-Phenanthroquinone",1.1.1.188,9913,0.1138333,1344
"9,10-Phenanthroquinone",1.1.1.209,10090,0.7833333,1345
"9,10-Phenanthroquinone",1.1.1.n11,10090,1.033333,1346
"9,10-Phenanthroquinone",1.1.1.213,10116,3.616667,1347
"9,10-Phenanthroquinone",1.1.1.51,10116,2.616667,1348
"9,10-Phenanthroquinone",1.1.1.62,10116,0.3,1349
"9,10-Phenanthroquinone",1.8.1.9,10116,17.3,1350
"9,10-Phenanthroquinone",1.11.1.1,226185,2,1351
9-cis-Retinal,1.1.1.1,9606,0.045,1352
9-cis-Retinal,1.1.1.21,9606,0.015,1353
9-cis-Retinal,1.1.1.1,10090,3.166667,1354
9-cis-Retinol,1.1.1.1,9606,0.06,1355
9-cis-Retinol,1.1.1.1,10090,5.666667,1356
"9alpha,11beta-Prostaglandin F2",1.1.1.188,9606,0.1183333,1357
"9alpha,11beta-Prostaglandin F2",1.3.1.20,9606,0.4166667,1358
"9alpha,11beta-Prostaglandin F2",1.1.1.51,10116,0.0025,1359
"9alpha,11beta-Prostaglandin F2",1.1.1.62,10116,0.03,1360
"9beta-Pimara-7,15-diene",1.14.14.111,39947,46,1361
ADP,2.7.1.11,1422,3.2,1362
ADP,2.7.2.1,2210,2680,1363
ADP,2.5.1.27,3486,0.02383333,1364
ADP,2.7.1.40,3702,95000,1365
ADP,3.1.3.2,3847,100,1366
ADP,3.1.3.2,3885,530,1367
ADP,3.1.3.2,4120,310,1368
ADP,2.7.3.3,6850,180,1369
ADP,2.7.1.40,9606,355,1370
ADP,2.7.2.3,9606,6000,1371
ADP,2.7.3.2,9606,467.3333,1372
ADP,3.1.3.2,9606,73,1373
ADP,3.6.1.15,9606,0.0051,1374
ADP,2.7.2.3,10116,33.13333,1375
ADP,3.6.1.53,10116,4.4,1376
ADP,2.7.1.40,83333,160,1377
ADP,2.7.4.1,83333,10.5,1378
ADP,6.3.4.14,83333,0.005166667,1379
ADP,6.3.5.5,83333,0.36,1380
ADP,2.7.1.147,186497,3500,1381
ADP,6.2.1.13,186497,203,1382
ADP,2.7.1.40,196627,2540,1383
ADP,6.2.1.13,224325,95,1384
ADP,2.7.2.2,226185,730,1385
ADP,2.7.2.3,294381,984,1386
ADP,2.7.1.40,559292,195,1387
ADP,2.7.2.3,559292,58.6,1388
ADP,4.1.1.49,559292,36,1389
ADPribose,3.6.1.13,1471,129.1,1390
ADPribose,3.6.1.13,3702,0.12,1391
ADPribose,3.6.1.13,9606,5.5,1392
ADPribose,3.6.1.53,10116,12.8,1393
ADPribose,3.6.1.13,262724,5.7,1394
ADPribose,3.6.1.13,300852,10.65,1395
AMP,2.5.1.27,3486,0.008283333,1396
AMP,2.7.4.3,3702,3.66,1397
AMP,3.1.3.2,3847,74,1398
AMP,3.1.3.2,4120,230,1399
AMP,2.7.9.1,4577,40.33333,1400
AMP,3.1.3.5,7227,0.28,1401
AMP,2.7.4.3,9031,650,1402
AMP,2.7.4.3,9606,151.6667,1403
AMP,3.1.3.5,9606,0.04,1404
AMP,2.7.4.3,9986,17,1405
AMP,3.1.3.2,83333,23,1406
AMP,3.1.3.5,83333,750,1407
AMP,2.7.9.2,186497,12.6,1408
AMP,2.7.4.3,224308,0.05333333,1409
AMP,2.7.9.1,294381,87,1410
ATP,2.7.2.4,274,25,1411
ATP,6.1.1.12,274,2.7,1412
ATP,6.1.1.9,274,6.7,1413
ATP,6.1.1.5,294,4.2627,1414
ATP,2.7.1.29,546,17.5,1415
ATP,2.7.1.71,556,35,1416
ATP,6.1.1.1,920,7.7,1417
ATP,6.3.1.2,1164,42,1418
ATP,4.6.1.1,1167,0.1166667,1419
ATP,2.7.1.113,1280,0.57,1420
ATP,2.7.1.21,1280,1.48,1421
ATP,2.7.1.76,1280,1.82,1422
ATP,2.7.1.95,1351,3.97,1423
ATP,6.3.2.4,1352,4.916667,1424
ATP,2.7.1.11,1422,41.7,1425
ATP,6.1.1.1,1422,8,1426
ATP,6.1.1.9,1422,18.1,1427
ATP,2.5.1.17,1598,0.038,1428
ATP,6.1.1.26,2208,0.1,1429
ATP,2.7.2.1,2210,1278,1430
ATP,2.7.2.3,2262,915.96,1431
ATP,2.5.1.27,3486,0.02716667,1432
ATP,2.7.1.26,3702,0.583,1433
ATP,2.7.1.43,3702,8.5,1434
ATP,2.7.2.4,3702,23.4,1435
ATP,2.7.4.3,3702,3.66,1436
ATP,2.7.4.8,3702,3.9,1437
ATP,3.6.1.5,3702,0.03766667,1438
ATP,6.2.1.3,3702,19.87,1439
ATP,6.3.1.2,3702,7.1,1440
ATP,6.3.2.2,3702,0.1133333,1441
ATP,6.3.2.52,3702,0.07333333,1442
ATP,6.3.3.2,3702,5.333333,1443
ATP,3.1.3.2,3847,65,1444
ATP,3.1.3.2,3885,2700,1445
ATP,2.7.4.6,3888,147,1446
ATP,2.7.1.1,4108,5.01,1447
ATP,2.7.7.27,4113,205,1448
ATP,3.1.3.2,4120,980,1449
ATP,2.7.7.27,4577,205,1450
ATP,2.7.9.1,4577,43.66667,1451
ATP,2.7.7.4,5076,24.4,1452
ATP,6.3.1.8,5656,4.2,1453
ATP,6.3.1.9,5656,8.7,1454
ATP,2.7.1.20,5661,1.433333,1455
ATP,2.7.2.11,5661,13.5,1456
ATP,6.3.4.3,5664,4.4,1457
ATP,2.7.1.1,5665,1899.467,1458
ATP,2.7.1.1,5691,483.3333,1459
ATP,6.3.1.9,5691,5.2,1460
ATP,2.7.1.1,5693,1136,1461
ATP,2.7.1.11,5702,196,1462
ATP,2.7.1.1,5759,284,1463
ATP,2.7.1.1,5811,3.47,1464
ATP,2.7.1.145,7227,27,1465
ATP,5.6.2.2,7227,0.1083333,1466
ATP,2.7.11.14,7955,0.86,1467
ATP,2.7.4.3,9031,650,1468
ATP,6.4.1.2,9031,36.8,1469
ATP,2.7.1.1,9606,69.7,1470
ATP,2.7.1.105,9606,0.17,1471
ATP,2.7.1.153,9606,7.5,1472
ATP,2.7.1.17,9606,35,1473
ATP,2.7.1.2,9606,117.4,1474
ATP,2.7.1.21,9606,0.71,1475
ATP,2.7.1.24,9606,14.2,1476
ATP,2.7.1.3,9606,11.1,1477
ATP,2.7.1.32,9606,83.1,1478
ATP,2.7.1.59,9606,116.8,1479
ATP,2.7.1.6,9606,8.7,1480
ATP,2.7.1.74,9606,0.74,1481
ATP,2.7.1.91,9606,85,1482
ATP,2.7.10.2,9606,2,1483
ATP,2.7.11.1,9606,1.983333,1484
ATP,2.7.11.10,9606,0.7152778,1485
ATP,2.7.11.14,9606,1.2,1486
ATP,2.7.2.3,9606,0.015,1487
ATP,2.7.3.2,9606,160.5,1488
ATP,2.7.4.14,9606,150,1489
ATP,2.7.4.21,9606,0.0038,1490
ATP,2.7.4.3,9606,151.6667,1491
ATP,2.7.7.1,9606,53.9,1492
ATP,2.7.7.18,9606,53.9,1493
ATP,2.7.7.2,9606,0.0036,1494
ATP,2.7.7.3,9606,13.5,1495
ATP,2.7.7.4,9606,0.5,1496
ATP,2.7.7.84,9606,7.2,1497
ATP,3.1.3.2,9606,119,1498
ATP,3.6.1.15,9606,0.0086,1499
ATP,3.6.1.5,9606,0.0825,1500
ATP,3.6.4.13,9606,0.004166667,1501
ATP,5.6.1.1,9606,3.83,1502
ATP,6.1.1.14,9606,0.31,1503
ATP,6.1.1.19,9606,8.9,1504
ATP,6.1.1.4,9606,0.82,1505
ATP,6.1.1.6,9606,0.31,1506
ATP,6.3.4.16,9606,4.45,1507
ATP,6.4.1.2,9606,11.8,1508
ATP,7.6.2.5,9606,0.12,1509
ATP,3.6.1.5,9615,0.0012,1510
ATP,3.6.1.5,9823,860,1511
ATP,2.7.7.19,9913,22.78,1512
ATP,2.7.3.2,9986,104,1513
ATP,2.7.4.3,9986,17,1514
ATP,5.6.1.8,9986,12.3,1515
ATP,7.2.2.10,9986,140,1516
ATP,6.1.1.19,10029,28,1517
ATP,6.1.1.6,10029,6.3,1518
ATP,2.7.1.14,10090,115,1519
ATP,2.7.1.2,10090,53.2,1520
ATP,2.7.11.24,10090,31.6,1521
ATP,2.7.4.21,10090,0.0163,1522
ATP,2.7.7.1,10090,20,1523
ATP,2.7.7.84,10090,0.39,1524
ATP,3.6.1.9,10090,16,1525
ATP,7.6.2.2,10090,0.008333333,1526
ATP,2.7.1.105,10116,0.092,1527
ATP,2.7.2.3,10116,9.133333,1528
ATP,6.3.4.16,10116,4.983333,1529
ATP,6.4.1.2,10116,11.6,1530
ATP,2.7.1.113,44101,0.61,1531
ATP,2.7.1.74,44101,1.23,1532
ATP,2.7.1.76,44101,1.48,1533
ATP,2.7.1.107,44689,0.2,1534
ATP,2.7.1.113,44689,3,1535
ATP,2.7.1.21,44689,7.5,1536
ATP,2.7.1.76,44689,3.7,1537
ATP,2.7.4.14,44689,410,1538
ATP,1.3.7.8,59405,1.6,1539
ATP,6.2.1.30,59406,40,1540
ATP,2.7.1.169,69014,1.56,1541
ATP,2.7.1.33,69014,0.21,1542
ATP,6.1.1.12,69014,0.061,1543
ATP,2.7.7.1,71421,0.92,1544
ATP,6.2.1.33,72586,54,1545
ATP,2.7.2.3,76981,540,1546
ATP,2.7.1.71,83331,44,1547
ATP,6.3.2.1,83331,3.4,1548
ATP,2.7.1.33,83332,0.411,1549
ATP,2.7.1.71,83332,44,1550
ATP,2.7.4.25,83332,52,1551
ATP,2.7.4.9,83332,4.5,1552
ATP,2.7.6.5,83332,24.68,1553
ATP,3.6.1.8,83332,0.8066667,1554
ATP,3.6.5.4,83332,0.007,1555
ATP,6.3.2.1,83332,3.4,1556
ATP,6.3.4.2,83332,22.9,1557
ATP,2.3.1.193,83333,0.0295,1558
ATP,2.5.1.6,83333,1.5,1559
ATP,2.7.1.11,83333,140,1560
ATP,2.7.1.165,83333,2.5,1561
ATP,2.7.1.170,83333,116.6667,1562
ATP,2.7.1.2,83333,410,1563
ATP,2.7.1.23,83333,125,1564
ATP,2.7.1.33,83333,1.14,1565
ATP,2.7.1.39,83333,29.1,1566
ATP,2.7.1.4,83333,14,1567
ATP,2.7.1.55,83333,47,1568
ATP,2.7.1.59,83333,9.2,1569
ATP,2.7.1.6,83333,0.5,1570
ATP,2.7.1.60,83333,83,1571
ATP,2.7.2.4,83333,13.2,1572
ATP,2.7.4.25,83333,108,1573
ATP,2.7.4.9,83333,10.5,1574
ATP,2.7.7.59,83333,1.075,1575
ATP,2.7.8.37,83333,20,1576
ATP,2.8.1.4,83333,0.145,1577
ATP,6.1.1.1,83333,0.74,1578
ATP,6.1.1.12,83333,6.8,1579
ATP,6.1.1.15,83333,70,1580
ATP,6.1.1.16,83333,141.9,1581
ATP,6.1.1.17,83333,9.6,1582
ATP,6.1.1.18,83333,2.616667,1583
ATP,6.1.1.2,83333,111,1584
ATP,6.1.1.21,83333,142,1585
ATP,6.1.1.3,83333,90,1586
ATP,6.1.1.4,83333,5.1,1587
ATP,6.1.1.9,83333,51,1588
ATP,6.3.1.2,83333,50,1589
ATP,6.3.2.10,83333,18,1590
ATP,6.3.2.12,83333,0.4166667,1591
ATP,6.3.2.8,83333,11.68,1592
ATP,6.3.2.9,83333,6.716667,1593
ATP,6.3.3.3,83333,0.06216667,1594
ATP,6.3.4.14,83333,1.23,1595
ATP,6.3.4.18,83333,26.4,1596
ATP,6.3.4.2,83333,13.7,1597
ATP,6.3.5.5,83333,5.6,1598
ATP,6.1.1.16,83334,141.9,1599
ATP,6.1.1.21,83334,130,1600
ATP,6.1.1.3,83334,90,1601
ATP,2.7.1.33,85962,2.09,1602
ATP,3.6.1.3,85962,0.155,1603
ATP,2.7.1.225,93061,0.2383333,1604
ATP,2.7.1.33,93061,329,1605
ATP,2.7.1.59,94122,7.1,1606
ATP,2.7.2.15,99287,125,1607
ATP,2.7.7.1,99287,0.26,1608
ATP,6.2.1.1,99287,276.8,1609
ATP,2.7.3.3,133901,6.74,1610
ATP,2.7.4.22,170187,175,1611
ATP,6.2.1.n2,176299,2.3,1612
ATP,2.7.9.2,186497,1573,1613
ATP,6.2.1.13,186497,89,1614
ATP,2.7.7.1,187420,10,1615
ATP,6.1.1.15,187420,6.9,1616
ATP,2.7.3.13,192222,2.5,1617
ATP,6.3.1.15,193462,0.515,1618
ATP,6.1.1.17,197221,0.1,1619
ATP,6.1.1.16,199310,141.9,1620
ATP,6.1.1.21,199310,130,1621
ATP,6.1.1.3,199310,90,1622
ATP,3.6.1.3,203119,0.4166667,1623
ATP,2.7.1.209,218491,2.76,1624
ATP,2.7.1.113,224308,1.53,1625
ATP,2.7.1.23,224308,8,1626
ATP,2.7.1.33,224308,2.12,1627
ATP,2.7.1.35,224308,0.032,1628
ATP,2.7.1.49,224308,0.36,1629
ATP,2.7.11.1,224308,0.0054,1630
ATP,2.7.4.3,224308,0.05333333,1631
ATP,6.1.1.17,224308,0.05,1632
ATP,6.1.1.2,224308,0.9,1633
ATP,6.1.1.24,224308,0.07,1634
ATP,6.1.1.15,224324,15,1635
ATP,6.2.1.13,224325,150,1636
ATP,6.1.1.15,224326,5.8,1637
ATP,6.2.1.n2,224911,1.5,1638
ATP,2.7.2.2,226185,92,1639
ATP,6.3.2.4,226185,4.1,1640
ATP,2.7.1.59,237561,107.8,1641
ATP,6.1.1.15,243230,32,1642
ATP,2.7.1.23,243232,424,1643
ATP,2.7.1.39,243232,28,1644
ATP,2.7.1.71,243232,57,1645
ATP,3.6.1.9,243232,1.02,1646
ATP,6.1.1.1,243232,0.15,1647
ATP,6.1.1.15,243232,63,1648
ATP,6.1.1.27,243232,1,1649
ATP,2.7.1.21,243274,0.4,1650
ATP,2.7.1.33,243274,0.29,1651
ATP,3.6.1.8,246196,0.7,1652
ATP,6.3.1.13,246196,9.4,1653
ATP,6.1.1.15,258594,14,1654
ATP,2.7.2.3,264203,450,1655
ATP,6.2.1.17,267608,6.8,1656
ATP,6.3.5.12,269797,0.01718333,1657
ATP,6.1.1.15,269798,19,1658
ATP,2.7.1.2,272557,30,1659
ATP,6.3.4.2,272623,6.4,1660
ATP,6.3.3.2,272634,1,1661
ATP,6.3.2.2,272843,25.3,1662
ATP,6.3.2.3,272843,36.3,1663
ATP,6.2.1.36,273063,8,1664
ATP,6.1.1.15,279238,26,1665
ATP,2.7.2.3,294381,136,1666
ATP,2.7.9.1,294381,15,1667
ATP,6.1.1.12,300852,0.24,1668
ATP,6.1.1.15,300852,35,1669
ATP,6.1.1.17,300852,2.1,1670
ATP,6.3.2.43,300852,5.2,1671
ATP,6.3.2.7,301447,9,1672
ATP,2.7.1.215,359391,230,1673
ATP,2.7.1.13,381666,10.2,1674
ATP,6.2.1.36,399549,23,1675
ATP,2.7.13.3,404589,0.02166667,1676
ATP,2.7.1.2,419947,108,1677
ATP,6.1.1.15,499177,60,1678
ATP,2.7.2.3,523846,338.86,1679
ATP,1.2.1.95,559292,41.66667,1680
ATP,2.7.1.1,559292,63.1,1681
ATP,2.7.1.11,559292,210,1682
ATP,2.7.1.2,559292,0.0721,1683
ATP,2.7.2.3,559292,606.7,1684
ATP,2.7.2.4,559292,469.3,1685
ATP,2.7.7.4,559292,0.86,1686
ATP,3.6.1.3,559292,20,1687
ATP,3.6.1.5,559292,0.011,1688
ATP,3.6.4.10,559292,1.266667,1689
ATP,3.6.4.13,559292,5.666667,1690
ATP,4.1.1.33,559292,4.9,1691
ATP,4.1.1.49,559292,37,1692
ATP,6.1.1.12,559292,27,1693
ATP,6.1.1.15,559292,5.6,1694
ATP,6.1.1.17,559292,4.4,1695
ATP,6.4.1.1,559292,59.5,1696
ATP,3.6.4.13,574961,0.2666667,1697
Acenaphthen-1-ol,1.1.1.213,9606,0.585,1698
Acenaphthen-1-ol,1.3.1.20,9606,0.585,1699
Acenaphthenequinone,1.1.1.209,10090,0.5833333,1700
Acetaldehyde,1.1.1.1,9544,74,1701
Acetaldehyde,1.1.1.1,9606,58.4,1702
Acetaldehyde,1.1.1.21,9606,1.85,1703
Acetaldehyde,1.2.1.3,9606,7,1704
Acetaldehyde,1.2.1.36,9606,0.27,1705
Acetaldehyde,1.2.1.5,9606,36,1706
Acetaldehyde,1.1.1.1,9796,360,1707
Acetaldehyde,1.1.1.1,10116,2.833333,1708
Acetaldehyde,1.2.1.3,10116,0.41,1709
Acetaldehyde,1.2.1.4,29320,0.75,1710
Acetaldehyde,1.2.1.26,62977,0.41,1711
Acetaldehyde,1.2.1.39,76114,6,1712
Acetaldehyde,1.2.1.10,266265,17.2,1713
Acetaldehyde,4.1.3.39,266265,1.04,1714
Acetaldehyde,1.1.1.1,284590,1143.333,1715
Acetaldehyde,1.2.1.10,300852,7.4,1716
Acetaldehyde,1.1.1.1,559292,176,1717
Acetaldehyde,1.2.1.4,559292,63,1718
Acetamide,3.5.1.4,208964,21.83,1719
Acetate,2.8.3.18,435,290,1720
Acetate,2.7.2.1,2210,1278,1721
Acetate,2.7.2.15,99287,125,1722
Acetate,6.2.1.1,99287,276.8,1723
Acetate,6.2.1.13,186497,121,1724
Acetate,6.2.1.13,224325,150,1725
Acetate,6.2.1.17,267608,6.8,1726
Acetoacetate,2.8.3.18,435,37,1727
Acetoacetyl-CoA,1.1.1.100,9606,4,1728
Acetoacetyl-CoA,1.1.1.35,9606,37,1729
Acetoacetyl-CoA,2.3.1.9,9606,21,1730
Acetoacetyl-CoA,2.3.1.16,83332,4.8,1731
Acetoacetyl-CoA,1.1.1.35,83333,382,1732
Acetoacetyl-CoA,2.3.1.16,83333,104,1733
Acetoacetyl-CoA,1.1.1.36,246196,1.14,1734
Acetoacetyl-CoA,2.3.1.9,352475,465,1735
Acetoin,1.1.1.10,9606,0.65,1736
Acetoin,1.1.1.10,10036,6.9,1737
Acetoin,1.1.1.10,10090,3,1738
Acetoin,1.1.1.10,10116,5.6,1739
Acetoin,1.1.1.10,10141,6.9,1740
Acetoin,1.1.1.156,51453,21,1741
Acetoin,1.1.1.72,51453,11,1742
Acetoin,1.1.1.4,559292,1633.333,1743
Acetone,1.1.1.1,191545,6.83,1744
Acetone,1.1.1.1,273057,0.3166667,1745
Acetone cyanohydrin,4.1.2.47,3981,65,1746
Acetophenone,1.14.13.84,294,13.2,1747
Acetophenone,1.1.1.311,76114,1.6,1748
Acetosyringone,1.10.3.2,5325,50,1749
Acetosyringone,1.10.3.2,224308,2,1750
Acetyl phosphate,2.3.1.8,2210,5252,1751
Acetyl phosphate,2.7.2.1,2210,2680,1752
Acetyl phosphate,3.6.1.7,9913,181,1753
Acetyl phosphate,2.3.1.8,83333,227.6,1754
Acetyl-CoA,2.8.3.18,435,75.2,1755
Acetyl-CoA,2.3.1.226,555,0.043,1756
Acetyl-CoA,2.3.1.209,562,155.3,1757
Acetyl-CoA,2.3.1.39,1423,0.13,1758
Acetyl-CoA,3.1.2.23,1667,0.0108,1759
Acetyl-CoA,2.3.1.30,3562,212,1760
Acetyl-CoA,2.3.1.30,3702,330,1761
Acetyl-CoA,2.3.1.74,3879,0.003166667,1762
Acetyl-CoA,6.4.1.2,9031,36.8,1763
Acetyl-CoA,2.3.1.255,9606,3.333333,1764
Acetyl-CoA,2.3.1.4,9606,22.1,1765
Acetyl-CoA,2.3.1.6,9606,99.6,1766
Acetyl-CoA,2.3.1.85,9606,2.666667,1767
Acetyl-CoA,2.3.1.9,9606,3.5,1768
Acetyl-CoA,2.7.8.7,9606,0.24,1769
Acetyl-CoA,3.1.2.20,9606,0.054,1770
